"description","biddable","startprice","condition","cellular","carrier","color","storage","productline","sold","UniqueID",".src"
"",0,329.99,"New","Unknown","Unknown","Space Gray","Unknown","Unknown",0,10024,"Train"
"",0,149,"Used","1","T-Mobile","White","64","iPad Air",0,10025,"Train"
"iPad mini 2 is an open box item, good condition. Does not include original box. Include Genuine ",0,238.8,"Used","0","None","Space Gray","16","iPad mini 2",0,10026,"Train"
"FULLY FUNCTIONAL",0,84.99,"Seller refurbished","1","AT&T","Unknown","64","iPad 1",1,10027,"Train"
"Ipad is used, in very good cosmetic condition. Has some very minor scratches on the body from normal ",0,249.99,"Used","0","None","Unknown","16","iPad 4",0,10028,"Train"
"â€œâ€œCustomer or Carrier Return. Cosmetic condition is 9.5 of 10.â€ù NOT IN ORIGINAL BOXâ€ù",0,309.99,"New other (see details)","0","None","White","32","iPad 4",0,10029,"Train"
"Comes with USB Cable and wall adapter.  May have minor dings or scuffs.",0,319.95,"Manufacturer refurbished","0","None","Space Gray","32","iPad Air",1,10030,"Train"
"Ipad has been previously used and shows some light signs of use.  Some light scratches on front ",0,185,"Used","0","None","Unknown","64","iPad 3",1,10031,"Train"
"In very good conditions, does show sign of use but mostly had a case on at all times. Still has a ",0,90,"Used","0","None","Unknown","16","iPad 1",1,10032,"Train"
"We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ",0,299.98,"Seller refurbished","0","None","Unknown","32","iPad Air",0,10033,"Train"
"",1,49,"New","0","None","Black","16","iPad Air",1,10034,"Train"
"",0,444.99,"Used","0","None","Unknown","16","iPad Air 2",0,10035,"Train"
"Used only 1 month, like new condition, include smart case and all accessories",0,480,"Used","0","None","Unknown","64","iPad Air 2",0,10036,"Train"
"Rarely ever used it.",0,225,"New other (see details)","1","AT&T","Unknown","32","iPad 3",1,10037,"Train"
"",0,79,"Used","0","None","Black","32","iPad 1",0,10038,"Train"
"",0,189.85,"Seller refurbished","1","Unknown","White","16","iPad 2",0,10039,"Train"
"Item has been professionally tested and inspected. Tests show that all features work correctly. This ",0,159.99,"Used","0","None","Black","16","iPad 3",0,10040,"Train"
"",0,199.99,"Used","0","None","Black","16","iPad 3",1,10041,"Train"
"Good condition",0,115,"Used","0","None","Unknown","32","iPad 1",0,10042,"Train"
"",0,289.95,"New","1","Unknown","Black","64","iPad 1",0,10043,"Train"
"Open Box Units Grade A Condition. Units may contain minor cosmetic imperfections.",0,499.95,"New other (see details)","0","None","White","64","iPad Air 2",0,10044,"Train"
"Great condition had a new battery installed 3 months ago by my local Apple Store so it works like ",0,199.99,"Manufacturer refurbished","1","Verizon","Black","64","iPad 2",1,10045,"Train"
"",0,550,"New","0","None","Black","64","iPad Air 2",0,10046,"Train"
"The body has some light scratches and the back has some engraving. There is a ding on the top right ",0,209.99,"Used","0","None","White","32","iPad 3",0,10047,"Train"
"Ipad has been previously used and shows some light signs of use.  Some light scratches on front ",0,185,"Used","0","None","Unknown","64","iPad 3",1,10048,"Train"
"great shape",1,100,"Used","1","Verizon","Unknown","64","iPad 4",1,10049,"Train"
"",1,279.99,"Used","1","Verizon","Unknown","32","iPad Air",1,10050,"Train"
"",0,614.99,"New","0","None","Unknown","128","iPad Air 2",1,10051,"Train"
"Has been opened but not used...still in box. Does not come with a book or charger",0,259,"New other (see details)","1","AT&T","Unknown","16","iPad 3",0,10052,"Train"
"",0,240,"Manufacturer refurbished","0","None","White","16","iPad 4",0,10053,"Train"
"",0,69.99,"Used","0","None","Black","16","iPad 1",0,10054,"Train"
"Like New",0,398.99,"Used","0","None","Unknown","128","iPad Air",0,10055,"Train"
"",1,175,"Used","0","None","Unknown","16","iPad mini 2",1,10056,"Train"
"",0,84.99,"Used","0","None","Space Gray","16","iPad mini",0,10057,"Train"
"",0,269.99,"New","0","None","Black","16","iPad 1",0,10058,"Train"
"Will have some cosmetic damage.",0,295,"Used","1","Verizon","Unknown","32","iPad 4",0,10059,"Train"
"Minor scuffs in the back. Otherwise looks flawless.  See all pictures.",0,210,"Used","1","Sprint","White","16","iPad mini",0,10060,"Train"
"",1,160,"Used","0","None","White","16","iPad Air",1,10061,"Train"
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,"Used","0","None","Unknown","64","iPad 2",1,10062,"Train"
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,304.89,"Seller refurbished","0","None","Unknown","64","iPad 4",0,10063,"Train"
"Previously used, please read description. May show signs of use such as scratches to the screen and ",1,0.99,"Used","1","Verizon","Unknown","16","iPad 2",1,10064,"Train"
"",0,195,"Used","0","None","Unknown","16","iPad mini",0,10065,"Train"
"",0,319,"New","Unknown","Unknown","Gold","Unknown","Unknown",0,10066,"Train"
"",0,389.99,"Used","0","None","Space Gray","64","iPad Air",0,10067,"Train"
"14 Days Warranty. Product has some sign of wear and scratches from previous use. (Please see ",0,79.99,"Seller refurbished","1","AT&T","Black","16","iPad 1",1,10068,"Train"
"",0,254.99,"Used","1","AT&T","Unknown","32","iPad 4",0,10069,"Train"
"Heavily used, digitizer is cracked in top right corner, plastic cover over 4G antenna has a crack in ",1,115,"Used","1","AT&T","Black","16","iPad 3",1,10070,"Train"
"Overall Good Condition with regular wear, dings in corners and some minor scratches on the screen.",0,159.95,"Used","1","Unknown","Black","32","iPad 2",0,10071,"Train"
"this item used work fine in good condition come with original ac adapter and USB cable",0,279.99,"Used","Unknown","Unknown","Unknown","Unknown","iPad Air",0,10072,"Train"
"",1,99.99,"Seller refurbished","1","AT&T","Black","16","iPad 2",1,10073,"Train"
"",1,75,"Used","0","None","Unknown","32","iPad 1",1,10074,"Train"
"",1,135,"Used","0","None","Unknown","16","iPad mini",1,10075,"Train"
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,"Used","0","None","Black","16","iPad mini",1,10076,"Train"
"Overall Good Condition with regular wear, some dings in corners and minor scratches on the screen.",0,119.95,"Used","0","None","Black","32","iPad 2",0,10077,"Train"
"",1,50,"Used","0","None","Black","16","iPad 1",1,10078,"Train"
"",0,269.94,"New other (see details)","0","None","Black","64","iPad 2",0,10079,"Train"
"",0,380,"Manufacturer refurbished","0","None","Unknown","64","iPad Air",1,10080,"Train"
"",1,0.99,"Used","0","None","White","16","iPad 2",1,10081,"Train"
"",0,169.95,"New","0","None","Black","16","iPad 1",0,10082,"Train"
"",0,319.85,"Seller refurbished","0","None","Black","32","iPad Air",0,10083,"Train"
"",0,329.99,"Used","1","AT&T","Unknown","32","iPad Air",0,10084,"Train"
"",0,249.95,"New other (see details)","1","Verizon","White","16","iPad 2",0,10085,"Train"
"Works perfectly, NOT iCloud locked, 1 owner. It is in not in very good conditions, but works ",0,130,"Used","0","None","Black","16","iPad mini",1,10086,"Train"
"",0,550,"New","0","None","Gold","64","iPad Air 2",0,10087,"Train"
"We are selling good quality iPads that have been fully tested by an Apple Certified Technician. The ",0,169.98,"Seller refurbished","1","AT&T","Black","64","iPad 2",0,10088,"Train"
"No scratches. Comes with Screen protector and charger.",0,149.99,"Seller refurbished","0","None","Black","16","iPad 2",1,10089,"Train"
"",1,305,"Used","0","None","White","16","iPad Air 2",1,10090,"Train"
"",1,0.01,"Seller refurbished","0","None","Unknown","16","iPad 2",1,10091,"Train"
"",1,450,"New other (see details)","0","None","Unknown","64","iPad Air 2",1,10092,"Train"
"*FREE* Same-Day Ship | 90-Day Warranty | 100% Functional, Includes All Major Accessories, Shows ",0,194.29,"Seller refurbished","0","None","White","32","iPad mini",0,10093,"Train"
"",0,193.15,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10094,"Train"
"",1,62,"Used","0","None","Black","64","iPad 1",1,10095,"Train"
"Open Box Excellent Condition .. All original accessories included in its original box.",0,489.99,"New other (see details)","0","None","Unknown","64","iPad Air 2",0,10096,"Train"
"",1,99,"Used","0","None","White","16","iPad 3",1,10097,"Train"
"Cracked screen and locked",1,45,"Used","0","None","Unknown","16","iPad 3",1,10098,"Train"
"Grade C-Major Dent and Scratched",0,134.95,"Used","0","None","Black","16","iPad 2",1,10099,"Train"
"",0,199.99,"Used","0","None","Black","16","iPad 3",0,10100,"Train"
"This item is in Excellent cosmetic condition. It will not have any scratches on the screen. It may ",0,264.99,"Used","0","None","Space Gray","32","iPad mini 2",1,10101,"Train"
"",0,349,"Seller refurbished","0","None","Space Gray","32","iPad Air",0,10102,"Train"
"Has a small crack on top right corner",1,160,"Used","0","None","Black","16","iPad mini 2",0,10103,"Train"
"This TAB is in average condition with some scratches on the housing or screen (does not affect ",0,295,"Used","1","Unknown","White","64","iPad 4",0,10104,"Train"
"",0,199,"Seller refurbished","0","None","White","16","iPad 4",1,10105,"Train"
"",0,279.95,"New","0","None","Unknown","32","iPad 1",0,10106,"Train"
"",0,149.95,"New other (see details)","1","Unknown","Black","64","iPad 1",0,10107,"Train"
"",1,290,"Used","0","None","White","32","iPad Air",1,10108,"Train"
"",0,339.99,"New","0","None","Space Gray","16","iPad Air",1,10109,"Train"
"iPads are in great shape. Very minor cosmetic scuffs on the back. Screens are in excellent shape. ",0,99,"Seller refurbished","1","AT&T","Black","64","iPad 1",0,10110,"Train"
"A device listed in near mint used cosmetic condition with light blemishes from use. Housing &amp; ",0,320,"Used","1","Unknown","White","64","iPad 4",0,10111,"Train"
"",1,255,"Seller refurbished","1","Unknown","Black","16","iPad mini",0,10112,"Train"
"READiPad is used but in excellent condition. Absolutely nothing wrong with it and it has recently ",1,114.99,"Used","0","None","Unknown","16","iPad mini",1,10113,"Train"
"comes with: grey ipad divider case, white stylus, Apple USB wall charger and USB cord. HDMI adaptor ",1,250,"Used","0","None","White","16","iPad Air",1,10114,"Train"
"Barely used, like new",0,250,"Used","0","None","Unknown","16","iPad 3",0,10115,"Train"
"",0,549.99,"Used","1","Verizon","Space Gray","64","iPad Air 2",0,10116,"Train"
"",0,215,"Used","1","AT&T","Unknown","32","iPad mini",1,10117,"Train"
"",1,325,"Used","0","None","Space Gray","128","iPad Air",1,10118,"Train"
"Brand new unopened still sealed ipad air 2.",1,199.99,"New other (see details)","1","Sprint","White","16","iPad Air",1,10119,"Train"
"",1,250,"Used","1","Unknown","White","64","iPad mini 3",0,10120,"Train"
"Grade B+ refurbished.  No factory packaging.  There is a surface level scratch on the rear casing ",0,249.99,"Manufacturer refurbished","1","Verizon","Black","16","iPad 4",0,10121,"Train"
"",0,299.99,"New other (see details)","1","Unknown","White","16","iPad mini",0,10122,"Train"
"",1,159.99,"New","0","None","White","16","iPad mini",1,10123,"Train"
"",1,9.99,"Used","0","None","White","16","iPad 3",1,10124,"Train"
"",1,125,"Used","0","None","Black","32","iPad 4",1,10125,"Train"
"Will have some cosmetic damage.",0,344,"Used","0","None","Unknown","64","iPad 4",0,10126,"Train"
"",1,100,"Used","0","None","Unknown","16","iPad 1",0,10127,"Train"
"Barely used, like new",0,250,"Used","0","None","Unknown","16","iPad 3",0,10128,"Train"
"good condition",0,175,"Used","0","None","Unknown","32","iPad 2",0,10129,"Train"
"New - Open Box. Charger included.",1,100,"New other (see details)","Unknown","Unknown","Unknown","Unknown","Unknown",1,10130,"Train"
"",0,150,"Used","0","None","Unknown","16","iPad 2",1,10131,"Train"
"Overall good condition. Some wear from use. Scratches/scuffs/nicks/scrapes on unit housing back, ",0,119.99,"Used","1","Verizon","Unknown","16","iPad 2",0,10132,"Train"
"",0,225,"Used","1","Verizon","Black","16","iPad 3",0,10133,"Train"
"",1,49.49,"Used","0","None","Unknown","32","iPad 1",1,10134,"Train"
"",1,225,"Seller refurbished","1","AT&T","Black","16","iPad 4",0,10135,"Train"
"â€œâ€œâ€œCustomer or Carrier Return. Cosmetic condition is 9 of 10.â€ù NOT IN ORIGINAL BOXâ€ùâ€ù",0,389.99,"New other (see details)","0","None","Unknown","128","iPad Air",0,10136,"Train"
"",1,255,"Used","0","None","Black","64","iPad 4",1,10137,"Train"
"Works great. I dinged corner. Doesn&#039;t affect use. If you add a case ding is completely unnoticeable.",1,25,"Used","1","AT&T","Unknown","16","iPad 1",1,10138,"Train"
"C Stock - Seller refurbished &amp; in Fair condition. 100% Fully Functional, Clean IMEI &amp; iCloud, ",0,274.99,"Seller refurbished","1","AT&T","Space Gray","16","iPad Air",0,10139,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad mini",1,10140,"Train"
"Like new. Was never really used. A few scratches on the back.",1,185,"Seller refurbished","0","None","Unknown","64","iPad 3",1,10141,"Train"
"",1,250,"Used","0","None","Black","32","iPad 3",1,10142,"Train"
"",1,99,"Used","1","T-Mobile","Space Gray","16","iPad mini 2",1,10143,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,215,"Used","1","AT&T","White","32","iPad 3",0,10144,"Train"
"",1,58,"Used","Unknown","Unknown","Black","Unknown","Unknown",1,10145,"Train"
"Great working iPad.  Minor surface scratches on back as pictured.  Other very light scratching which ",0,187.5,"Used","0","None","Black","16","iPad 3",0,10146,"Train"
"Note: One of the corners is slight scratched",0,189.99,"Used","0","None","White","16","iPad 3",1,10147,"Train"
"",0,229,"Used","0","None","Space Gray","16","iPad mini 2",0,10148,"Train"
"iPad has average amount of scratches, scuffs and possible dings on the corners, but overall Good ",0,159.93,"Used","1","Verizon","Unknown","32","iPad 2",0,10149,"Train"
"",1,89.95,"Used","0","None","Black","32","iPad 2",1,10150,"Train"
"This iPad 2 is iCloud locked I repeat it is iCloud locked if you can get the iCloud lock off of it ",1,60,"Seller refurbished","0","None","White","16","iPad 2",1,10151,"Train"
"Includes iPad, charger, wall plug, and Apple iPad Smart Case. Front screen excellent condition ",1,0.99,"Used","0","None","Unknown","32","iPad 3",1,10152,"Train"
"",0,639.99,"Seller refurbished","1","Unknown","Unknown","128","iPad Air 2",0,10153,"Train"
"rubber lining worn out, light scratches on the&lt;br&gt;back.  works great.",1,40,"Used","0","None","Unknown","16","iPad 1",1,10154,"Train"
"This listing does not include a charger.",0,284.99,"Used","Unknown","Unknown","White","16","iPad mini 3",0,10155,"Train"
"",1,29.99,"Used","1","AT&T","Black","64","iPad 1",1,10156,"Train"
"",1,49.99,"Used","1","AT&T","Black","16","iPad 1",1,10157,"Train"
"This iPad 2 is used and is in good working order. It has scuffs/scratches from general use. Note ",0,139.98,"Used","0","None","Black","16","iPad 2",0,10158,"Train"
"",0,199,"Used","Unknown","Unknown","Unknown","Unknown","iPad mini",1,10159,"Train"
"Grade A refurbished.  Opened / components unsealed.  No factory packaging.  No cosmetic damage ",0,294.99,"Manufacturer refurbished","0","None","White","16","iPad Air",0,10160,"Train"
"",0,499,"New","1","Sprint","White","128","iPad mini 2",1,10161,"Train"
"",1,50,"Used","0","None","Black","16","iPad 1",1,10162,"Train"
"",0,299.99,"Used","1","AT&T","Space Gray","16","iPad Air",0,10163,"Train"
"This TAB is in average condition with some scratches on the housing or screen (does not affect ",0,270,"Used","1","Unknown","White","32","iPad 4",0,10164,"Train"
"Excellent condition see pictures.",1,80,"Used","1","AT&T","Black","64","iPad 1",1,10165,"Train"
"",1,0.01,"Seller refurbished","0","None","Unknown","32","iPad 4",1,10166,"Train"
"LIKE BRAND NEW 100% MONEY BACK GUARANTEE",0,399.99,"Used","0","None","White","16","iPad Air",0,10167,"Train"
"",0,279.95,"New","0","None","Unknown","32","iPad 1",0,10168,"Train"
"",1,50,"Used","1","AT&T","Black","16","iPad 1",1,10169,"Train"
"",0,329,"New","0","None","Black","16","iPad mini 2",0,10170,"Train"
"Great working iPad.  Very minor surface scratches on back as pictured.  Other very light scratching ",0,187.5,"Used","0","None","Black","16","iPad 3",0,10171,"Train"
"",0,269,"Used","0","None","Unknown","32","iPad mini 2",0,10172,"Train"
"",1,50,"Used","1","AT&T","Unknown","16","iPad mini",1,10173,"Train"
"Please see images and refer closely to the description.",1,0.99,"Used","0","None","White","16","iPad mini",1,10174,"Train"
"",1,65,"Used","0","None","Black","16","iPad 1",1,10175,"Train"
"",1,89.99,"Used","0","None","Black","16","iPad mini",1,10176,"Train"
"",1,149,"New","0","None","White","16","iPad mini 3",1,10177,"Train"
"Housing Condition-Moderate Scratches/Dent, No Cracked/Damaged
Screen Condition-Moderate Scratches, ",0,184.95,"Used","1","Verizon","Black","32","iPad 3",1,10178,"Train"
"Very Good Condition",1,99,"Used","0","None","Space Gray","16","iPad mini",1,10179,"Train"
"",1,225,"Used","1","Verizon","White","16","iPad mini 2",1,10180,"Train"
"",1,200,"Used","1","AT&T","Unknown","16","iPad Air",1,10181,"Train"
"",1,100,"Used","1","AT&T","Black","64","iPad 1",0,10182,"Train"
"It&#039;s in an open box with all accessories still in the original packaging.",0,319,"New other (see details)","0","None","Black","16","iPad Air",1,10183,"Train"
"",0,15,"Used","0","None","Black","16","iPad 2",0,10184,"Train"
"",1,99,"Used","0","None","Unknown","16","iPad 2",1,10185,"Train"
"",1,99.99,"Used","0","None","Space Gray","16","iPad mini",1,10186,"Train"
"",1,174.95,"Used","0","None","Unknown","16","iPad 4",1,10187,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,299,"Used","1","Unknown","White","64","iPad 4",0,10188,"Train"
"very clean no scratch new digitizer comes with the box",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10189,"Train"
"",1,50,"Used","0","None","Black","32","iPad 1",1,10190,"Train"
"",0,215,"Used","1","Verizon","Black","64","iPad 2",0,10191,"Train"
"",1,62,"Used","0","None","Black","64","iPad 1",1,10192,"Train"
"",1,250,"Seller refurbished","1","Unknown","Black","64","iPad 3",0,10193,"Train"
"has a few scuffs and scratches on the front and back and something happened to sound. ringer works ",1,100,"Used","1","Verizon","Unknown","64","iPad 3",1,10194,"Train"
"",1,200,"Used","1","Unknown","Unknown","32","iPad 3",0,10195,"Train"
"Good to very good condition. Restored to factory settings.",1,99.99,"Used","0","None","White","16","iPad mini",1,10196,"Train"
"new, open box",0,404.99,"New other (see details)","0","None","Black","64","iPad Air",0,10197,"Train"
"Clean ESN.  iCloud clear.  No charger is included.  Very good condition.  See pictures.",1,0.99,"Used","1","Unknown","Unknown","16","iPad Air 2",1,10198,"Train"
"In great working condition. Very little where in tear.",1,50,"Used","0","None","Black","16","Unknown",0,10199,"Train"
"",0,89.99,"Used","0","None","Space Gray","16","iPad mini",0,10200,"Train"
"Screens are in great shape!  Digitizer issues.",1,49.99,"Used","Unknown","Unknown","Black","Unknown","Unknown",1,10201,"Train"
"",1,100,"Used","1","Verizon","Black","64","iPad mini",1,10202,"Train"
"iPad is in great condition. Works perfect, still as fast a day one. There is normal wear and tear ",1,79.99,"Used","0","None","Unknown","16","iPad 4",1,10203,"Train"
"Overall good condition. Some wear from use. Some scratches on back housing. Screen has minor ",0,309.99,"Used","Unknown","Unknown","Unknown","Unknown","iPad 4",0,10204,"Train"
"Excellent Condition, always has screen protector on and been in Smart Case/Cover",0,415,"Used","1","Unknown","Unknown","64","iPad Air",1,10205,"Train"
"",0,200,"Used","1","AT&T","White","16","iPad 2",0,10206,"Train"
"",0,269,"Used","0","None","Unknown","32","iPad mini 2",0,10207,"Train"
"Good used condition. Restored to factory settings.",1,184.99,"Used","0","None","Space Gray","16","iPad Air",1,10208,"Train"
"",1,50,"Used","0","None","Black","16","iPad 1",1,10209,"Train"
"",1,165,"Used","0","None","White","64","iPad 3",1,10210,"Train"
"",1,25,"Seller refurbished","Unknown","Unknown","Unknown","Unknown","Unknown",1,10211,"Train"
"This TAB is in good condition with minor scratches on the housing or screen (does not affect ",0,299,"Used","1","Unknown","White","64","iPad 4",0,10212,"Train"
"",1,99,"Used","0","None","White","16","iPad 2",1,10213,"Train"
"",1,99,"Used","0","None","Black","32","iPad 3",1,10214,"Train"
"",0,374.95,"Used","0","None","White","128","iPad Air",0,10215,"Train"
"Item is used. Item does show signs of wear from use. There are multiple surface scratches and scuffs ",0,189,"Used","0","None","Unknown","64","iPad 2",0,10216,"Train"
"",0,75,"Used","0","None","Black","16","iPad 1",0,10217,"Train"
"",0,175,"Used","0","None","Unknown","16","iPad 3",1,10218,"Train"
"An item that has been restored to working order by the eBay seller or a third party not approved by ",0,480,"Seller refurbished","0","None","Gold","64","iPad Air 2",0,10219,"Train"
"new digitizer and charger",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10220,"Train"
"iPad Air 2, Very good condition, Does not include original box, Includes Apple certified ",0,465.99,"Seller refurbished","0","None","Black","64","iPad Air 2",0,10221,"Train"
"Will have some cosmetic damage.",0,399.99,"Used","0","None","Unknown","128","iPad 4",0,10222,"Train"
"new digitizer and charger",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10223,"Train"
"",1,50,"Used","0","None","Black","64","iPad 1",1,10224,"Train"
"Almost new condition",1,70,"Used","0","None","Black","16","Unknown",1,10225,"Train"
"I replaced the battery in this IPad roughly one year ago. I was unable to properly re-assemble it ",1,1,"Used","1","Verizon","Black","16","iPad 1",1,10226,"Train"
"Used for only two days mint!! W blue cover",1,299.99,"New other (see details)","0","None","Space Gray","16","iPad mini 3",1,10227,"Train"
"",1,150,"Used","1","AT&T","Black","64","iPad 3",1,10228,"Train"
"",0,187.99,"Seller refurbished","0","None","Unknown","16","iPad mini 2",0,10229,"Train"
"",1,42,"Used","0","None","White","16","iPad 1",1,10230,"Train"
"iPad is in GREAT condition! The screen and case has a few light surface scratches. See photos for ",1,399.99,"Used","0","None","White","16","iPad Air 2",1,10231,"Train"
"",0,425,"New","1","Unknown","Unknown","16","iPad mini 3",0,10232,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10233,"Train"
"",0,339,"Used","0","None","White","64","iPad mini 2",1,10234,"Train"
"Will have some cosmetic damage.",0,164.99,"Used","1","AT&T","Unknown","32","iPad 2",0,10235,"Train"
"Used. Great condition, Please refer to photos for additional information.",0,319.95,"Used","1","AT&T","White","16","iPad Air",0,10236,"Train"
"",1,99,"Manufacturer refurbished","0","None","White","16","iPad 2",1,10237,"Train"
"",1,0.99,"Used","0","None","White","16","iPad 2",1,10238,"Train"
"Like New",0,398.99,"Used","0","None","Unknown","128","iPad Air",0,10239,"Train"
"",1,55,"Used","0","None","Black","32","iPad 1",1,10240,"Train"
"like new&lt;br&gt;",1,99.99,"Manufacturer refurbished","1","Verizon","Unknown","16","iPad 3",0,10241,"Train"
"",1,175,"Used","1","Verizon","White","64","iPad 3",1,10242,"Train"
"",1,140,"Used","0","None","Black","16","iPad 3",1,10243,"Train"
"Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ",0,155,"Used","Unknown","Unknown","Unknown","Unknown","Unknown",0,10244,"Train"
"",1,300,"New","0","None","Space Gray","16","iPad mini 3",1,10245,"Train"
"",1,400,"Used","0","None","Space Gray","32","iPad Air",0,10246,"Train"
"",1,1,"Used","0","None","Unknown","32","iPad 3",1,10247,"Train"
"Note: Surface scratches on the back cover",0,89.99,"Used","1","AT&T","Black","32","iPad mini",1,10248,"Train"
"",0,114.94,"Used","1","AT&T","Unknown","32","iPad 1",0,10249,"Train"
"",1,45,"Used","0","None","Black","32","iPad 2",1,10250,"Train"
"iPad works however the screen replacement was not done cleanly. As a result the home button is loose ",1,89,"Used","0","None","Black","16","iPad 2",1,10251,"Train"
"Small chip in corner.",0,159.99,"Used","1","Verizon","Unknown","32","iPad 2",0,10252,"Train"
"",1,200,"New","0","None","Unknown","16","iPad Air 2",1,10253,"Train"
"",1,229.97,"Used","1","AT&T","Black","64","iPad 1",0,10254,"Train"
"",1,0.99,"Used","0","None","Unknown","16","iPad 2",1,10255,"Train"
"",1,40,"Used","0","None","Black","16","iPad 1",1,10256,"Train"
"",0,499.99,"New","1","AT&T","Space Gray","128","iPad mini",0,10257,"Train"
"",1,0.99,"Used","0","None","White","16","iPad 2",1,10258,"Train"
"",0,150,"Used","0","None","Unknown","16","iPad 2",1,10259,"Train"
"",0,334.99,"New","Unknown","Unknown","Gold","Unknown","Unknown",0,10260,"Train"
"This is a used iPad. It comes with a lightening cable and power brick.  There are no cracks or ",1,250,"Used","1","AT&T","White","16","iPad Air",0,10261,"Train"
"",1,59.95,"Used","0","None","White","16","Unknown",1,10262,"Train"
"",1,50,"Used","0","None","Unknown","16","iPad mini",1,10263,"Train"
"",1,225,"Seller refurbished","1","AT&T","White","16","iPad 4",0,10264,"Train"
"",1,80,"Used","0","None","Black","16","iPad 2",1,10265,"Train"
"Used. Tested Cameras, speaker, charge port, buttons and touch. Has light scratches on case. Light ",0,320,"Used","1","AT&T","Gold","16","iPad Air 2",0,10266,"Train"
"",0,335,"New","0","None","Unknown","16","iPad mini 3",0,10267,"Train"
"",1,200,"Used","1","Verizon","White","32","iPad 3",1,10268,"Train"
"",1,100,"Used","0","None","White","16","iPad 2",1,10269,"Train"
"",1,29.99,"Used","1","AT&T","Black","32","iPad 1",1,10270,"Train"
"Excellent Condition",1,75,"Used","0","None","White","16","iPad 3",1,10271,"Train"
"",0,305,"New other (see details)","1","Unknown","Black","32","iPad 4",1,10272,"Train"
"",1,150,"New","0","None","Space Gray","16","iPad mini",1,10273,"Train"
"",0,144.99,"Used","0","None","Black","16","iPad 2",0,10274,"Train"
"This Apple iPad was cherished by its previous owner and has some signs of use, there are faint ",1,78,"Used","1","AT&T","Unknown","64","iPad 1",1,10275,"Train"
"",1,19.95,"Seller refurbished","0","None","Unknown","32","iPad 2",1,10276,"Train"
